Corpus,Amount,Duplicates
10.1.1.89.9207,1,10.1.1.88.1359
10.1.1.59.5519,1,10.1.1.121.7316
10.1.1.5.932,1,10.1.1.3.2533
10.1.1.76.2175,1,10.1.1.112.3446
10.1.1.77.5470,1,10.1.1.142.1306
10.1.1.43.8609,1,10.1.1.33.4973
10.1.1.227.7452,1,10.1.1.129.8583
10.1.1.180.1751,1,10.1.1.168.8
10.1.1.129.1554,1,10.1.1.128.4185
10.1.1.67.9544,1,10.1.1.112.5553
10.1.1.32.8484,1,10.1.1.1.9247
10.1.1.98.4162,1,10.1.1.121.8750
10.1.1.49.2865,1,10.1.1.39.6147
10.1.1.54.2933,1,10.1.1.40.2308
10.1.1.80.2858,1,10.1.1.73.7192
10.1.1.73.3144,1,10.1.1.40.4852
10.1.1.93.7066,1,10.1.1.153.7053
10.1.1.6.1860,1,10.1.1.155.498
10.1.1.16.493,1,10.1.1.16.2219
10.1.1.231.8651,1,10.1.1.229.1053
10.1.1.49.5558,1,10.1.1.4.1954
10.1.1.172.9312,1,10.1.1.172.9216
10.1.1.90.6865,1,10.1.1.63.7017
10.1.1.187.4658,3,10.1.1.170.7768 10.1.1.183.64 10.1.1.177.641
10.1.1.38.1107,1,10.1.1.139.5197
10.1.1.49.1559,1,10.1.1.48.930
10.1.1.83.5547,1,10.1.1.147.1024
10.1.1.204.1518,1,10.1.1.178.2162
10.1.1.180.2178,1,10.1.1.165.4526
10.1.1.144.649,1,10.1.1.113.5719
10.1.1.180.9027,1,10.1.1.180.8177
10.1.1.38.1982,1,10.1.1.133.4474
10.1.1.53.3337,1,10.1.1.31.6660
10.1.1.69.8113,1,10.1.1.69.7312
10.1.1.224.3770,1,10.1.1.224.1983
10.1.1.49.7849,1,10.1.1.21.4673
10.1.1.50.2773,1,10.1.1.14.6482
10.1.1.207.214,1,10.1.1.165.9793
10.1.1.211.7178,1,10.1.1.133.6667
10.1.1.20.4800,1,10.1.1.15.6066
10.1.1.46.8264,1,10.1.1.46.7869
10.1.1.56.4045,1,10.1.1.29.9108
10.1.1.186.7557,1,10.1.1.169.9186
10.1.1.24.6252,1,10.1.1.135.8369
10.1.1.21.7402,1,10.1.1.16.8449
10.1.1.75.4229,1,10.1.1.59.9133
10.1.1.8.817,1,10.1.1.30.9381
10.1.1.41.5224,1,10.1.1.25.5401
10.1.1.129.6712,1,10.1.1.116.1182
10.1.1.80.6347,1,10.1.1.117.5978
10.1.1.58.6683,1,10.1.1.21.5977
10.1.1.81.6408,1,10.1.1.74.3296
10.1.1.190.2303,1,10.1.1.173.8454
10.1.1.138.1117,1,10.1.1.117.3806
10.1.1.178.9381,1,10.1.1.170.7249
10.1.1.122.8989,1,10.1.1.104.611
10.1.1.35.6545,1,10.1.1.1.4174
10.1.1.115.5442,1,10.1.1.111.3397
10.1.1.19.2460,1,10.1.1.1.9330
10.1.1.5.7843,1,10.1.1.20.9835
10.1.1.142.3928,1,10.1.1.110.2611
10.1.1.23.8510,1,10.1.1.111.4196
10.1.1.23.8906,1,10.1.1.22.3739
10.1.1.60.5900,1,10.1.1.59.7332
10.1.1.28.5031,1,10.1.1.22.741
10.1.1.73.7467,1,10.1.1.14.8651
10.1.1.44.641,1,10.1.1.144.7257
10.1.1.120.6524,1,10.1.1.116.4564
10.1.1.154.6270,1,10.1.1.141.7968
10.1.1.85.9375,1,10.1.1.71.2130
10.1.1.41.3037,1,10.1.1.186.3782
10.1.1.63.3138,1,10.1.1.31.4024
10.1.1.38.6121,1,10.1.1.25.6221
10.1.1.78.7325,1,10.1.1.10.8604
10.1.1.46.6466,1,10.1.1.192.4038
10.1.1.4.1254,1,10.1.1.11.9004
10.1.1.52.2810,1,10.1.1.31.5488
10.1.1.163.1678,1,10.1.1.145.3592
10.1.1.81.1567,1,10.1.1.65.3765
10.1.1.81.7810,1,10.1.1.79.6953
10.1.1.49.565,1,10.1.1.28.5387
10.1.1.148.2577,1,10.1.1.133.788
10.1.1.51.8438,1,10.1.1.45.8831
10.1.1.180.1060,1,10.1.1.170.3227
10.1.1.210.4195,1,10.1.1.143.7564
10.1.1.30.5913,1,10.1.1.101.1032
10.1.1.63.8929,1,10.1.1.165.6135
10.1.1.45.1315,1,10.1.1.40.7389
10.1.1.44.9058,1,10.1.1.21.2382
10.1.1.73.6942,1,10.1.1.4.7825
10.1.1.26.4934,1,10.1.1.24.5112
10.1.1.26.5588,1,10.1.1.125.3564
10.1.1.68.8428,1,10.1.1.172.5544
10.1.1.78.1488,1,10.1.1.2.9400
10.1.1.221.7060,1,10.1.1.170.6488
10.1.1.227.8515,1,10.1.1.226.404
10.1.1.33.164,1,10.1.1.23.697
10.1.1.77.2480,1,10.1.1.104.3108
10.1.1.212.5243,1,10.1.1.100.8982
10.1.1.72.4054,1,10.1.1.43.8921
10.1.1.55.3287,1,10.1.1.37.2260
10.1.1.38.6987,1,10.1.1.32.4894
10.1.1.104.2958,1,10.1.1.100.2647
10.1.1.48.1387,1,10.1.1.36.5454
10.1.1.54.9972,1,10.1.1.38.4946
10.1.1.204.8931,1,10.1.1.188.6840
10.1.1.6.624,1,10.1.1.140.6887
10.1.1.42.4604,1,10.1.1.40.1501
10.1.1.130.4585,1,10.1.1.13.4427
10.1.1.58.9190,1,10.1.1.106.430
10.1.1.207.7915,1,10.1.1.116.8518
10.1.1.54.1667,1,10.1.1.50.9145
10.1.1.144.2304,1,10.1.1.144.1073
10.1.1.222.7587,1,10.1.1.211.9857
10.1.1.73.4626,1,10.1.1.138.245
10.1.1.233.4878,1,10.1.1.210.1687
10.1.1.175.3795,1,10.1.1.167.7301
10.1.1.23.7893,1,10.1.1.22.3256
10.1.1.60.9804,1,10.1.1.60.1268
10.1.1.41.871,1,10.1.1.22.2354
10.1.1.70.2080,1,10.1.1.67.2374
10.1.1.52.6558,1,10.1.1.34.665
10.1.1.55.6678,1,10.1.1.35.4594
10.1.1.126.4776,1,10.1.1.104.9511
10.1.1.47.8594,1,10.1.1.47.843
10.1.1.68.8931,1,10.1.1.40.9299
10.1.1.40.1490,1,10.1.1.141.2567
10.1.1.59.6213,1,10.1.1.105.2500
10.1.1.81.3129,1,10.1.1.106.6333
10.1.1.183.1875,1,10.1.1.14.8976
10.1.1.45.9371,1,10.1.1.23.9777
10.1.1.51.4463,1,10.1.1.49.6857
10.1.1.128.4116,1,10.1.1.111.4125
10.1.1.54.8822,1,10.1.1.54.5535
10.1.1.87.808,1,10.1.1.18.2328
10.1.1.62.8148,1,10.1.1.137.2115
10.1.1.68.8100,1,10.1.1.51.6399
10.1.1.112.2074,1,10.1.1.100.8313
10.1.1.5.319,1,10.1.1.35.5705
10.1.1.62.1099,1,10.1.1.113.3824
10.1.1.28.999,1,10.1.1.28.7960
10.1.1.78.833,1,10.1.1.17.9518
10.1.1.5.2276,1,10.1.1.137.8479
10.1.1.65.7908,1,10.1.1.155.1422
10.1.1.49.6041,1,10.1.1.134.4609
10.1.1.96.6534,1,10.1.1.192.1996
10.1.1.69.7541,1,10.1.1.138.3372
10.1.1.53.689,1,10.1.1.40.9196
10.1.1.89.6320,1,10.1.1.38.2752
10.1.1.232.463,1,10.1.1.216.7837
