Corpus,Amount,Duplicates
205608788,2,"[45126952, 205608788]"
46260004,12,"[38486081, 38910884, 46260004, 39906994, 39589524, 23070360, 21541433, 41553595, 5795772, 40398813, 40508766, 38551775]"
51696668,3,"[51699987, 51696668, 51697309]"
640092,3,"[5532337, 640092, 42731838]"
215144887,3,"[209662738, 209163732, 215144887]"
5124034,4,"[582201, 5124034, 28034615, 31497439]"
6476710,9,"[35227171, 6476710, 32097135, 21006192, 43689750, 39674999, 34048249, 33254714, 5305115]"
198173339,4,"[198177568, 198178559, 198173339, 198175519]"
189918042,4,"[189918736, 189918033, 189918042, 189917717]"
42804380,5,"[206139751, 31772107, 42804380, 19908210, 2648988]"
140021023,2,"[59373652, 140021023]"
85416606,4,"[19986329, 86078514, 38547786, 85416606]"
51934546,8,"[53231137, 52311715, 53108068, 53945931, 52013456, 53178353, 51934546, 51887645]"
189855331,10,"[189855331, 189855110, 198205226, 189901549, 189901678, 189854134, 189880855, 189918650, 189919357, 198202079]"
181513855,4,"[83549274, 181537675, 182659406, 181513855]"
146964794,5,"[146827274, 147557676, 147114995, 147572116, 146964794]"
7708460,8,"[2116963, 7708460, 32378513, 27109939, 21097843, 9590488, 40956538, 46668189]"
33688686,2,"[33688686, 6456775]"
189842960,3,"[189842960, 189843978, 189843600]"
159089409,2,"[159089409, 211367701]"
197593765,7,"[197591620, 197593765, 197599851, 197596204, 197591757, 197598479, 197593620]"
10475341,9,"[29360004, 19350651, 10475341, 40891534, 37772977, 42478164, 9701044, 12838651, 35645151]"
19654532,3,"[42956987, 19654532, 34218246]"
207029182,2,"[20487953, 207029182]"
155183645,5,"[87856674, 155183645, 135073551, 88278647, 155124285]"
30030968,7,"[38281508, 24420856, 32874898, 40979415, 30030968, 40583385, 35338941]"
81726174,21,"[40815636, 33851673, 28300716, 19882541, 1512877, 10153137, 62776502, 31963968, 19213378, 40007237, 32437831, 27777745, 37190619, 62802268, 81726174, 32148834, 9584488, 10304365, 136125297, 7787377, 43219320]"
186466295,6,"[188833633, 187638285, 186998451, 188800404, 186466295, 187048189]"
36369771,3,"[36369771, 42304100, 33822676]"
55860068,2,"[124939132, 55860068]"
54100473,7,"[215308105, 54122731, 215289996, 54121071, 54113842, 54125141, 54100473]"
36654548,5,"[31846983, 13525608, 28336487, 33201419, 36654548]"
42741501,2,"[34774460, 42741501]"
155434450,6,"[155233509, 155781000, 158699946, 186390832, 155434450, 155301502]"
71401393,5,"[128669643, 204671149, 71401393, 204694812, 204690367]"
39446343,6,"[39446343, 38833864, 6492400, 26870065, 15381427, 32248671]"
42635688,6,"[29302977, 40433954, 31336391, 42635688, 21088617, 33610585]"
36086158,6,"[26262274, 29693896, 90317803, 36086158, 90915026, 90898869]"
177616881,2,"[177616881, 177593113]"
35365838,6,"[3260868, 32241412, 42286341, 6885866, 35365838, 36444727]"
11946355,3,"[32241010, 11946355, 26327447]"
46249959,5,"[19151973, 36357062, 46249959, 45386324, 29049368]"
195243736,4,"[195243512, 195243547, 195242262, 195243736]"
88310987,4,"[87729704, 87531848, 88310987, 87876870]"
52115902,2,"[52117308, 52115902]"
51650438,6,"[51654912, 51650438, 51661199, 51663030, 51660984, 51668569]"
189911121,2,"[189911121, 189911281]"
96027601,4,"[96653881, 97517993, 96027601, 95995437]"
157188396,9,"[157143841, 157328228, 157551111, 157830603, 157188396, 157796750, 157356438, 157319799, 157767899]"
4302497,6,"[32407681, 4302497, 35432225, 4353613, 4305428, 4343710]"
122064411,3,"[122064411, 122487958, 122590775]"
16312907,2,"[119366073, 16312907]"
201164277,2,"[78736224, 201164277]"
92427533,6,"[91441381, 92461573, 92427533, 90166929, 215085713, 49229116]"
189863352,6,"[189863171, 189862919, 189863345, 189862866, 189863352, 137184606]"
128481791,20,"[126617221, 107157133, 128881809, 128708242, 126879892, 128307349, 126559022, 127882934, 128109751, 127993786, 126591685, 127660638, 128463458, 128471141, 106476389, 128152815, 128313712, 127068530, 96521587, 128481791]"
27007969,2,"[27007969, 756502]"
37692560,6,"[34599531, 40552782, 38154510, 1149552, 12055953, 37692560]"
4398625,5,"[4398625, 12584164, 4357223, 4404981, 4387030]"
92608147,3,"[92608147, 171735507, 172069167]"
