Corpus,Amount,Duplicates
7772725,1,215093615
212552429,1,215452243
14005944,1,215077261
966667,1,215196089
54467557,1,10423063
26041666,1,214887951
91184859,1,105828326
121613959,1,17421565
136557964,1,212748885
195709589,1,17924122
201219365,1,215462106
193555319,1,162150745
71661899,1,45361756
108743264,1,195858129
14943092,1,215612606
42635688,4,29302977 40433954 31336391 33610585
18638054,1,215065280
3130779,1,215004838
116727784,3,116335514 116778990 116272823
55148478,1,198127664
203977937,1,215478292
29602863,2,25093765 30782262
43925546,3,215013016 214870532 43957052
9507917,1,215111794
54009121,1,215244990
26344519,1,215430676
195657502,1,215242459
52068743,1,215046802
7860010,1,215600003
45677481,5,28768802 41414244 35155694 28399219 26827575
51958851,1,51956783
124415165,1,28621426
52881369,1,215351496
17997624,1,215672026
195275542,1,155487010
198247256,1,215325402
52851699,1,38042659
14274920,1,37445022
12774068,1,27470463
106408912,1,198998265
4713625,1,214900249
41923429,1,215068147
169222308,2,170918347 192448822
204538085,1,215459053
53435053,1,215397989
6407303,1,214990347
9494090,1,214922590
13975736,1,214824134
195115779,1,195128779
64339604,1,215330275
209508923,1,215477243
1085449,1,215699261
189875986,3,189873442 189875789 189876247
20670677,1,215647645
211016568,1,215429961
92741275,3,91387564 92553845 91742158
2376012,1,215698202
10432714,1,215584478
8816978,2,29013444 24435357
17495992,1,215144822
54354609,15,54309858 54308361 54268234 53213995 54306635 54411277 54303917 53276366 53259119 54425165 54251891 54228884 53259374 54237751 54231421
16464502,1,215574014
6220254,1,31191326
119551354,1,120819516
49430965,1,215166061
207106948,1,8186751
124715523,1,199668587
59614068,1,215240976
17035506,1,215671679
37291974,1,215067103
96968249,1,102954403
73469447,1,73490959
43967629,52,214915456 214924034 214830725 215062407 215154698 214981006 214849553 43932688 215050774 215027095 214979607 214923417 43958046 43939239 215059496 215052972 43936172 43961134 43969710 43928113 215171514 43922491 43970748 215109565 214848958 215110724 215031621 214869319 215034440 43950667 215041996 43948366 43948239 215167568 43972819 214900441 214978010 43952219 43933021 215088862 215084514 43944163 215140199 43960044 43959918 215074031 43967730 214957433 43960186 215102971 215046780 215164542
37144092,1,197436093
15264406,1,215189284
51928309,1,214876555
212778885,1,213746809
46665433,1,13943770
18354579,1,215650113
31300174,1,214926454
77869344,1,25817532
51934546,7,53231137 52311715 53108068 53945931 52013456 53178353 51887645
250684,5,26719692 45825267 34608052 40954167 40071102
9966786,1,215654949
54163137,1,215245254
95798715,1,31968371
12652524,1,215598217
140106936,1,54283678
27616480,1,214995817
24222724,1,196594038
54331440,11,195203809 54248868 195069862 195071691 54419343 195203864 195203387 54431580 54341693 54294110 195203295
155337093,1,215368943
45595699,1,45220728
198175400,1,198176738
26759796,1,214861042
54158333,14,215247970 54135878 54106375 54143303 215325993 215265293 215271052 215253647 215281072 54161328 215248376 215243354 215241884 54133791
4804640,1,215094351
35870654,1,110922879
214651963,3,214653878 214652268 214652710
110353843,1,24202612
49582953,1,214939823
11673124,1,215069168
16966429,1,215578386
197036102,1,196695103
119386612,1,7372453
53084711,1,53084715
1846227,1,215213472
61568769,1,204192314
5014892,1,54598961
9102779,1,201882514
43247059,1,214884750
162801033,1,163383299
43960382,1,214953693
21699515,1,215174579
15947153,1,215671611
208015782,1,199545516
198127859,1,198969738
96788293,1,189787144
5124034,1,582201
12988232,1,77148584
21775466,1,214968736
150321143,1,215374023
11516107,1,215669903
202762927,1,208171648
199435308,1,215476329
201837727,10,198965667 203925924 56484742 207902406 199449832 108294122 73472911 58573872 149446962 73417207
139206012,1,3780231
91186112,1,215318689
153221877,1,150809918
96907130,1,197317971
24712529,1,214862741
211688,1,215189695
13372795,1,195916850
46050730,1,24121320
204250832,1,208093313
110501169,1,51755276
53309361,1,119371898
110743010,1,109134622
210181496,1,215440850
34246991,9,214957413 215052975 214849264 8811061 9047960 26518777 214948411 214845436 214922301
202269419,1,154939261
195857770,2,195857841 88538954
49891172,1,214851931
208259390,1,9218912
4378583,1,214945295
3355153,1,214948371
116691435,1,10716696
15715096,1,215132194
37502315,1,214951176
15332611,2,8140229 18048404
14027243,1,215591579
163664921,1,197652167
15630033,1,215653625
52189380,1,215047138
12762238,1,215562344
1925036,1,214826628
129945380,1,215345562
89157495,1,20672984
47021291,1,215141256
203095669,1,165000461
1726228,3,32669863 8624358 35902089
14885320,1,214918940
37175204,1,215698184
96781520,1,98707491
6308177,1,215655004
203452344,1,215500429
14460491,1,215020337
13807704,1,214929564
10022870,1,47400547
211035340,1,7755879
52017272,1,214959264
27636134,11,21278337 46702403 43754633 3441456 23590065 34540754 43372114 34026773 21054357 34957754 21185148
18904592,1,215028957
53440369,1,215351630
71161881,1,13942426
132739673,1,133126826
208179356,1,215459072
34282214,1,214960497
14607264,1,215455942
93126979,1,121786383
53184670,1,53191449
9909392,1,214880746
119522930,1,215274168
7715270,1,214838129
19614581,1,214939456
61526270,1,18210582
197189427,1,33479536
196749789,1,197187299
3236915,1,215135829
8105870,1,214884779
177580845,1,177592818
60091185,1,7747673
51656416,1,51673749
