Corpus,Amount,Duplicates
7772725,2,"['215093615', '7772725']"
212552429,2,"['215452243', '212552429']"
14005944,2,"['215077261', '14005944']"
966667,2,"['215196089', '966667']"
54467557,2,"['10423063', '54467557']"
26041666,2,"['214887951', '26041666']"
91184859,2,"['105828326', '91184859']"
121613959,2,"['17421565', '121613959']"
136557964,2,"['212748885', '136557964']"
195709589,2,"['17924122', '195709589']"
201219365,2,"['215462106', '201219365']"
193555319,2,"['162150745', '193555319']"
71661899,2,"['45361756', '71661899']"
108743264,2,"['195858129', '108743264']"
14943092,2,"['215612606', '14943092']"
42635688,5,"['29302977', '40433954', '31336391', '33610585', '42635688']"
18638054,2,"['215065280', '18638054']"
3130779,2,"['215004838', '3130779']"
116727784,4,"['116335514', '116778990', '116272823', '116727784']"
55148478,2,"['198127664', '55148478']"
203977937,2,"['215478292', '203977937']"
29602863,3,"['25093765', '30782262', '29602863']"
43925546,4,"['215013016', '214870532', '43957052', '43925546']"
9507917,2,"['215111794', '9507917']"
54009121,2,"['215244990', '54009121']"
26344519,2,"['215430676', '26344519']"
195657502,2,"['215242459', '195657502']"
52068743,2,"['215046802', '52068743']"
7860010,2,"['215600003', '7860010']"
45677481,6,"['28768802', '41414244', '35155694', '28399219', '26827575', '45677481']"
51958851,2,"['51956783', '51958851']"
124415165,2,"['28621426', '124415165']"
52881369,2,"['215351496', '52881369']"
17997624,2,"['215672026', '17997624']"
195275542,2,"['155487010', '195275542']"
198247256,2,"['215325402', '198247256']"
52851699,2,"['38042659', '52851699']"
14274920,2,"['37445022', '14274920']"
12774068,2,"['27470463', '12774068']"
106408912,2,"['198998265', '106408912']"
4713625,2,"['214900249', '4713625']"
41923429,2,"['215068147', '41923429']"
169222308,3,"['170918347', '192448822', '169222308']"
204538085,2,"['215459053', '204538085']"
53435053,2,"['215397989', '53435053']"
6407303,2,"['214990347', '6407303']"
9494090,2,"['214922590', '9494090']"
13975736,2,"['214824134', '13975736']"
195115779,2,"['195128779', '195115779']"
64339604,2,"['215330275', '64339604']"
209508923,2,"['215477243', '209508923']"
1085449,2,"['215699261', '1085449']"
189875986,4,"['189873442', '189875789', '189876247', '189875986']"
20670677,2,"['215647645', '20670677']"
211016568,2,"['215429961', '211016568']"
92741275,4,"['91387564', '92553845', '91742158', '92741275']"
2376012,2,"['215698202', '2376012']"
10432714,2,"['215584478', '10432714']"
8816978,3,"['29013444', '24435357', '8816978']"
17495992,2,"['215144822', '17495992']"
54354609,16,"['54309858', '54308361', '54268234', '53213995', '54306635', '54411277', '54303917', '53276366', '53259119', '54425165', '54251891', '54228884', '53259374', '54237751', '54231421', '54354609']"
16464502,2,"['215574014', '16464502']"
6220254,2,"['31191326', '6220254']"
119551354,2,"['120819516', '119551354']"
49430965,2,"['215166061', '49430965']"
207106948,2,"['8186751', '207106948']"
124715523,2,"['199668587', '124715523']"
59614068,2,"['215240976', '59614068']"
17035506,2,"['215671679', '17035506']"
37291974,2,"['215067103', '37291974']"
96968249,2,"['102954403', '96968249']"
73469447,2,"['73490959', '73469447']"
43967629,53,"['214915456', '214924034', '214830725', '215062407', '215154698', '214981006', '214849553', '43932688', '215050774', '215027095', '214979607', '214923417', '43958046', '43939239', '215059496', '215052972', '43936172', '43961134', '43969710', '43928113', '215171514', '43922491', '43970748', '215109565', '214848958', '215110724', '215031621', '214869319', '215034440', '43950667', '215041996', '43948366', '43948239', '215167568', '43972819', '214900441', '214978010', '43952219', '43933021', '215088862', '215084514', '43944163', '215140199', '43960044', '43959918', '215074031', '43967730', '214957433', '43960186', '215102971', '215046780', '215164542', '43967629']"
37144092,2,"['197436093', '37144092']"
15264406,2,"['215189284', '15264406']"
51928309,2,"['214876555', '51928309']"
212778885,2,"['213746809', '212778885']"
46665433,2,"['13943770', '46665433']"
18354579,2,"['215650113', '18354579']"
31300174,2,"['214926454', '31300174']"
77869344,2,"['25817532', '77869344']"
51934546,8,"['53231137', '52311715', '53108068', '53945931', '52013456', '53178353', '51887645', '51934546']"
250684,6,"['26719692', '45825267', '34608052', '40954167', '40071102', '250684']"
9966786,2,"['215654949', '9966786']"
54163137,2,"['215245254', '54163137']"
95798715,2,"['31968371', '95798715']"
12652524,2,"['215598217', '12652524']"
140106936,2,"['54283678', '140106936']"
27616480,2,"['214995817', '27616480']"
24222724,2,"['196594038', '24222724']"
54331440,12,"['195203809', '54248868', '195069862', '195071691', '54419343', '195203864', '195203387', '54431580', '54341693', '54294110', '195203295', '54331440']"
155337093,2,"['215368943', '155337093']"
45595699,2,"['45220728', '45595699']"
198175400,2,"['198176738', '198175400']"
26759796,2,"['214861042', '26759796']"
54158333,15,"['215247970', '54135878', '54106375', '54143303', '215325993', '215265293', '215271052', '215253647', '215281072', '54161328', '215248376', '215243354', '215241884', '54133791', '54158333']"
4804640,2,"['215094351', '4804640']"
35870654,2,"['110922879', '35870654']"
214651963,4,"['214653878', '214652268', '214652710', '214651963']"
110353843,2,"['24202612', '110353843']"
49582953,2,"['214939823', '49582953']"
11673124,2,"['215069168', '11673124']"
16966429,2,"['215578386', '16966429']"
