Corpus,Amount,Duplicates
205608788,12,13237346 45126952 40496073 7263118 40552689 205608788 27018613 373463 34207576 6338617 5532337 640092
46260004,11,38486081 38910884 46260004 39906994 39589524 23070360 41553595 5795772 40398813 40508766 38551775
51696668,11,51696930 51696549 51698969 51697999 51699987 51697652 51699161 51696668 51697309 51700254 51698975
640092,11,13237346 45126952 40496073 7263118 40552689 205608788 27018613 373463 34207576 6338617 640092
215144887,14,189909891 189870023 195299914 189869339 215144887 189839109 189838492 189835181 51928309 8243239 45970771 85348040 78497863 143556015
5124034,9,45044192 5124034 30611312 19704855 28034615 582201 39189530 27406140 31497439
6476710,9,35227171 6476710 32097135 21006192 43689750 39674999 34048249 33254714 5305115
189825997,9,189834497 189828358 189825997 189833679 189828309 189827447 189828569 189828605 189827486
198173339,9,198177568 198175042 198173259 198178029 198175919 198175519 198173814 198173339 198178559
189918042,9,189919020 189917261 189917711 189918736 189918033 189917519 189917717 189918042 189919710
42804380,9,39368034 1977349 206139751 2648988 31772107 19908210 206139892 9538876 42804380
140021023,9,54341025 54368551 54274023 54374134 54292952 54251802 54424126 59373652 140021023
85416606,8,84752547 206310814 42344070 38547786 86078514 85659732 19986329 85416606
51934546,8,53231137 52311715 53108068 53945931 52013456 53178353 51934546 51887645
189855331,8,189855041 189855331 189855110 198202729 189919729 189917620 189918650 189917598
181513855,8,182243271 181656296 182821223 181537675 182659406 182919736 83549274 181513855
146964794,8,146952611 147087336 146827274 147503306 147572116 147166870 146964794 147633118
7708460,8,2116963 7708460 32378513 27109939 21097843 9590488 40956538 46668189
33688686,8,39922567 6456775 33688686 11908561 45047605 33326230 35098103 28336765
189842960,8,189842563 189843365 189844170 189843978 189842960 189843600 189842803 189842910
159089409,8,159089409 159230946 211300835 159401063 159325257 204432563 211367701 211359965
197593765,8,197591620 197593765 197593798 197591757 197594703 197598479 197593620 197595960
10475341,8,29360004 19350651 10475341 40891534 37772977 42478164 9701044 12838651
54341025,8,54341025 54368551 54274023 54374134 54292952 54251802 54424126 140021023
19654532,7,199438593 19654532 3787175 84841903 155104311 215143469 215121118
53569877,7,215143469 215121118 4560993 13818321 48353236 53569877 46895133
207029182,7,43556685 38148110 44968497 20487953 7900379 32486076 207029182
155183645,7,87856674 155124285 135073551 97746166 88278647 158895640 155183645
30030968,7,38281508 24420856 32874898 40979415 30030968 40583385 35338941
81726174,7,39678882 25423659 1512877 24124590 23413038 36942009 81726174
186466295,7,188833633 187638285 186998451 188800404 186466295 187048189 183014974
36369771,7,42304100 11108582 12216619 36369771 21869035 33822676 26329300
55860068,7,208785677 208789136 215676017 215714642 215655311 124939132 55860068
121910048,7,208785677 208789136 215676017 215714642 215655311 121910048 121218843
54100473,6,54096073 54122731 215289996 54113842 49303604 54100473
36654548,6,28336487 13525608 31846983 33201419 36654548 34084537
42741501,6,42741501 35062442 6050571 37725197 45512057 34774460
155434450,6,155233509 155781000 158699946 186390832 155434450 155301502
71401393,6,128669643 204671149 71401393 195197300 204694812 204690367
39446343,6,39446343 38833864 26870065 15381427 11743321 32248671
42635688,6,29302977 40433954 31336391 42635688 21088617 33610585
36086158,6,26262274 90317803 36086158 90915026 90898869 46610902
177616881,6,177564896 177580802 72210031 177616881 177593113 177570302
35365838,6,3260868 32241412 42286341 6885866 35365838 36444727
11946355,6,37004454 27446954 32241010 11946355 26763574 26327447
46249959,6,19151973 36357062 46249959 40303154 45386324 29049368
195243736,6,195243525 195243736 195242325 195242262 195243512 195243547
88310987,6,87876870 87531848 88364521 88310987 87529269 87462814
52115902,6,52130379 52126029 52118327 52117308 52115902 52124191
51650438,6,51654912 51650438 51661199 51663030 51660984 51668569
189911121,6,189911331 189911940 189910542 189908847 189911121 189911281
96027601,6,97679786 98670027 94988236 95995437 96027601 96653881
157188396,6,157143841 157551111 157830603 157188396 157319799 157767899
4302497,6,32407681 4302497 35432225 4353613 4305428 4343710
122064411,6,189863091 189863096 189862940 122064411 122487958 122590775
16312907,6,208785677 208789136 215676017 215714642 215655311 16312907
139155483,5,215143469 215121118 139155483 138474621 201283839
201164277,5,215143469 215121118 78736224 201164277 86558639
71239229,5,215143469 215121118 71661826 71239229 22716719
92427533,5,91441381 92461573 92427533 90166929 49229116
189863352,5,189863352 189862919 189863217 189862866 189863345
128481791,5,128463458 128471141 128881809 128708242 128481791
27007969,5,38617216 27007969 35814911 19406866 756502
37692560,5,34599531 40552782 38154510 1149552 37692560
4398625,5,4398625 12584164 4357223 4404981 4387030
142855147,5,154013515 142855147 147063540 147209172 149743001
92608147,5,171717579 90825387 172069167 92608147 171735507
133524890,5,100491624 132296107 132098772 132916921 133524890
91161368,5,188597936 188759188 84299605 91161368 124011868
133944320,5,133944320 134303841 135290916 135163816 134329469
169247061,5,198405763 214237035 135167252 169247061 169613174
12937102,5,19290528 5924901 26657574 35436360 12937102
198174808,5,198174468 198173961 198174808 198178106 198175387
189890773,5,189890853 189879910 189891379 189889236 189890773
210040915,5,189868300 189869677 189868685 210040915 198178614
140645786,5,134383816 135197609 134364528 133922707 140645786
43583569,5,45424121 43583569 158460374 43281944 8769785
214651963,5,208270319 214651963 214653878 214652268 214652710
43117607,5,189863091 189863096 189862940 954178 43117607
43951101,4,43955650 43964178 56203356 43951101
43925546,2,43925546 43957052
70870434,4,215143469 215121118 70870434 31247407
129278650,4,163281380 147258345 157926287 129278650
