corpus_id,title,authors,year,field
13237346,From the Editor,J. Dianne  Garner ,2013,Medicine
45126952,From the Editor,J. Dianne  Garner ,2011,Medicine
40496073,From the Editor,J. Dianne  Garner ,2012,Medicine
7263118,From the Editor,J. Dianne  Garner ,2012,Medicine
40552689,From the Editor,J. Dianne  Garner ,2013,Medicine
205608788,From the Editor,J. Dianne  Garner ,2011,Medicine
27018613,From the Editor,J. Dianne  Garner ,2012,Medicine
373463,From the Editor,J. Dianne  Garner ,2013,Medicine
34207576,From the Editor,J. Dianne  Garner ,2013,Medicine
6338617,From the Editor,J. Dianne  Garner ,2012,Medicine
5532337,From the Editor's Desk,Upendra  Nagaich ,2010,Medicine
640092,From the editor′s desk,Upendra  Nagaich ,2010,Medicine
38486081,News and developments in behavioral medicine,Stephen M. Weiss ,2004,
38910884,News and developments in behavioral medicine,Stephen M. Weiss ,2004,
46260004,News and developments in behavioral medicine,Stephen M. Weiss ,2004,
39906994,News and developments in behavioral medicine,Stephen M. Weiss ,2004,
39589524,News and developments in behavioral medicine,Stephen M. Weiss ,2004,
23070360,News and developments in behavioral medicine,Stephen M. Weiss ,2004,
41553595,News and developments in behavioral medicine,Stephen M. Weiss ,2004,
5795772,News and developments in behavioral medicine,Stephen M. Weiss ,2004,Medicine
40398813,News and developments in behavioral medicine,Stephen M. Weiss ,2004,
40508766,News and developments in behavioral medicine,Stephen M. Weiss ,2004,
38551775,News and developments in behavioral medicine,Stephen M. Weiss ,2004,Psychology
51696930,Contributions to Pathology and Rational Medicine,John Hughes Bennett ,1847,
51696549,Contributions to Pathology and Rational Medicine,John Hughes Bennett ,1847,
51698969,Contributions to Pathology and Rational Medicine,John Hughes Bennett ,1847,
51697999,Contributions to Pathology and Rational Medicine,John Hughes Bennett ,1847,
51699987,Contributions to Pathology and Rational Medicine,John Hughes Bennett ,1848,
51697652,Contributions to Pathology and Rational Medicine,John Hughes Bennett ,1847,
51699161,Contributions to Pathology and Rational Medicine,John Hughes Bennett ,1847,
51696668,Contributions to Pathology and Rational Medicine,John Hughes Bennett ,1848,
51697309,Contributions to Pathology and Rational Medicine,John Hughes Bennett ,1848,
51700254,Contributions to Pathology and Rational Medicine,John Hughes Bennett ,1847,
51698975,Contributions to Pathology and Rational Medicine,John Hughes Bennett ,1847,
189909891,General Editorial on Publication Ethics,,2013,
189870023,General Editorial on Publication Ethics,,2013,
195299914,General Editorial on Publication Ethics,,2013,
189869339,General Editorial on Publication Ethics,,2014,
215144887,Editorial,"Markus  Dettenhofer , Winston Patrick Kuo ",2014,Medicine
189839109,Editorial Addresses,,1997,
189838492,Editorial Addresses,,1997,
189835181,Editorial addresses,,1996,
51928309,Editorial: Beyond CpG Methylation: New Modifications in Eukaryotic DNA,"Reinhard  Stöger , Alexey  Ruzov ",2018,"Medicine, Biology"
45044192,EKG of the month.,"J F Moran , D L Fishman , P J Scanlon , S A Johnson , J R Tobin , R M Gunnar ",1977,Medicine
5124034,EKG of the month.,"J F Moran , D J Hale , P J Scanlon , S A Johnson , J R Tobin , R M Gunnar ",1978,Medicine
30611312,EKG of the month.,"J R Tobin , R  Nemickas , P J Scanlon , J F Moran , S  Johnson , R M Gunnar ",1977,Medicine
19704855,EKG of the month.,"J F Moran , D L Fishman , P J Scanlon , S A Johnson , J R Tobin , R M Gunnar ",1977,Medicine
28034615,EKG of the month.,"J F Moran , D L Fishman , P J Scanlon , S A Johnson , J R Tobin , R M Gunnar ",1978,Medicine
582201,EKG of the month.,"J F Moran , D J Hale , P J Scanlon , S A Johnson , J R Tobin , R M Gunnar ",1978,Medicine
39189530,EKG of the month.,"J F Moran , D J Hale , P J Scanlon , S A Johnson , J R Tobin , R M Gunnar ",1980,Medicine
27406140,EKG of the month.,"J F Moran , D L Fishman , P J Scanlon , S A Johnson , J R Tobin , R M Gunnar ",1977,Medicine
31497439,EKG of the month.,"J F Moran , D L Fishman , P J Scanlon , S A Johnson , J R Tobin , R M Gunnar ",1978,Medicine
35227171,Der chirurg digest,"Christian  Herfarth , Thomas  Lehnert ",2004,
6476710,Der Chirurg digest,"Ch.  Herfarth , Th.  Lehnert ",2004,
32097135,Der Chirurg digest,"Ch.  Herfarth , Th.  Lehnert ",2004,Medicine
21006192,Der Chirurg digest,"Christian  Herfarth , Thomas  Lehnert , Der  Chirurg ",2004,
43689750,Der Chirurg digest,"Yoshio  Mishima , Ch.  Herfarth , Th.  Lehnert ",2004,
39674999,Der Chirug digest,"Ch.  Herfarth , Th.  Lehnert ",2004,Medicine
34048249,Der Chirurg digest,"Ch.  Herfarth , Th.  Lehnert ",2004,
33254714,Der chirurg digest,"Ch.  Herfarth , Th.  Lehnert ",2004,
5305115,Der chirurg digest,Christian  Herfarth ,2004,
189834497,The Harold D. Lasswell prize,,1986,
189828358,The Harold D. Lasswell Prize,,1987,
189825997,The Harold D. Lasswell Prize,,1985,
189833679,The Harold D. Lasswell Prize,,1986,
189828309,The Harold D. Lasswell Prize,,1986,
189827447,The Harold D. Lasswell Prize,,1987,
189828569,The Harold D. Lasswell Prize,,1987,
189828605,The Harold D. Lasswell prize,,1986,
189827486,The Harold D. Lasswell Prize,,1987,
198177568,Invitation to write Letters to the Editor,,1989,
198175042,Invitation to write letters to the editor,,1988,
198173259,Invitation to write letters to the editor,,1988,
198178029,Invitation to write letters to the editor,,1988,
198175919,Invitation to write Letters to the editor,,1990,
198175519,Invitation to write letters to the editor,,1989,
198173814,Invitation to write letters to the editor,,1988,
198173339,Invitation to write Letters to the Editor,,1989,
198178559,Invitation to write letters to the editor,,1989,
189919020,Extract of the 1985 physics abstracts classification scheme (PACS),,1987,
189917261,Extract of the 1985 Physics Abstracts Classification Scheme (PACS),,1987,
189917711,Extract of the 1985 Physics Abstracts Classification Scheme (PACS),,1988,
189918736,Extract of the 1985 Physics Abstracts Classification Scheme (PACS),,1986,
189918033,Extract of the 1985 Physics Abstracts Classification Scheme (PACS),,1986,
189917519,Extract of the 1985 Physics Abstracts Classification Scheme (PACS),,1988,
189917717,Extract of the 1985 Physics Abstracts Classification Scheme (PACS),,1986,
189918042,Extract of the 1985 Physics Abstracts Classification Scheme (PACS),,1986,
189919710,Extract of the 1985 Physics Abstracts Classification Scheme (PACS),,1988,
39368034,Context for Practice,Mikel  Gray ,2016,Medicine
1977349,Context for Practice,Mikel  Gray ,2016,Medicine
206139751,Context for Practice,Mikel  Gray ,2017,Medicine
